maPn: PN001, maSp: SP001, sl: 10, donGia: 1000, tongTien: 10000.0
maPn: PN002, maSp: SP002, sl: 15, donGia: 1500, tongTien: 22500.0
maPn: PN003, maSp: SP003, sl: 8, donGia: 500, tongTien: 4000.0
maPn: PN004, maSp: SP004, sl: 20, donGia: 1200, tongTien: 24000.0
maPn: PN005, maSp: SP005, sl: 5, donGia: 2000, tongTien: 10000.0
maPn: PN006, maSp: SP006, sl: 30, donGia: 2500, tongTien: 75000.0
maPn: PN007, maSp: SP007, sl: 12, donGia: 800, tongTien: 9600.0
maPn: PN008, maSp: SP008, sl: 18, donGia: 1200, tongTien: 21600.0
maPn: PN009, maSp: SP009, sl: 25, donGia: 300, tongTien: 7500.0
maPn: PN010, maSp: SP010, sl: 22, donGia: 1100, tongTien: 24200.0
maPn: PN011, maSp: SP011, sl: 16, donGia: 1300, tongTien: 20800.0
maPn: PN012, maSp: SP012, sl: 10, donGia: 1500, tongTien: 15000.0
maPn: PN013, maSp: SP013, sl: 7, donGia: 1800, tongTien: 12600.0
maPn: PN014, maSp: SP014, sl: 14, donGia: 900, tongTien: 12600.0
maPn: PN015, maSp: SP015, sl: 9, donGia: 1100, tongTien: 9900.0
maPn='PN001', maSp='SP001', sl=10.0, donGia=1000.0, tongTien=10000.0}
maPn='PN002', maSp='SP002', sl=15.0, donGia=1500.0, tongTien=22500.0}
maPn='PN003', maSp='SP003', sl=8.0, donGia=500.0, tongTien=4000.0}
maPn='PN004', maSp='SP004', sl=20.0, donGia=1200.0, tongTien=24000.0}
maPn='PN005', maSp='SP005', sl=5.0, donGia=2000.0, tongTien=10000.0}
maPn='PN006', maSp='SP006', sl=30.0, donGia=2500.0, tongTien=75000.0}
maPn='PN007', maSp='SP007', sl=12.0, donGia=800.0, tongTien=9600.0}
maPn='PN008', maSp='SP008', sl=18.0, donGia=1200.0, tongTien=21600.0}
maPn='PN009', maSp='SP009', sl=25.0, donGia=300.0, tongTien=7500.0}
maPn='PN010', maSp='SP010', sl=22.0, donGia=1100.0, tongTien=24200.0}
maPn='PN011', maSp='SP011', sl=16.0, donGia=1300.0, tongTien=20800.0}
maPn='PN012', maSp='SP012', sl=10.0, donGia=1500.0, tongTien=15000.0}
maPn='PN013', maSp='SP013', sl=7.0, donGia=1800.0, tongTien=12600.0}
maPn='PN014', maSp='SP014', sl=14.0, donGia=900.0, tongTien=12600.0}
maPn='PN015', maSp='SP015', sl=9.0, donGia=1100.0, tongTien=9900.0}
maPn='1', maSp='1', sl=1.0, donGia=1.0, tongTien=1.0}
maPn='PN001', maSp='SP001', sl=10.0, donGia=1000.0, tongTien=10000.0}
maPn='PN002', maSp='SP002', sl=15.0, donGia=1500.0, tongTien=22500.0}
maPn='PN003', maSp='SP003', sl=8.0, donGia=500.0, tongTien=4000.0}
maPn='PN004', maSp='SP004', sl=20.0, donGia=1200.0, tongTien=24000.0}
maPn='PN005', maSp='SP005', sl=5.0, donGia=2000.0, tongTien=10000.0}
maPn='PN006', maSp='SP006', sl=30.0, donGia=2500.0, tongTien=75000.0}
maPn='PN007', maSp='SP007', sl=12.0, donGia=800.0, tongTien=9600.0}
maPn='PN008', maSp='SP008', sl=18.0, donGia=1200.0, tongTien=21600.0}
maPn='PN009', maSp='SP009', sl=25.0, donGia=300.0, tongTien=7500.0}
maPn='PN010', maSp='SP010', sl=22.0, donGia=1100.0, tongTien=24200.0}
maPn='PN011', maSp='SP011', sl=16.0, donGia=1300.0, tongTien=20800.0}
maPn='PN012', maSp='SP012', sl=10.0, donGia=1500.0, tongTien=15000.0}
maPn='PN013', maSp='SP013', sl=7.0, donGia=1800.0, tongTien=12600.0}
maPn='PN014', maSp='SP014', sl=14.0, donGia=900.0, tongTien=12600.0}
maPn='PN015', maSp='SP015', sl=9.0, donGia=1100.0, tongTien=9900.0}
