Ma phieu: PN001, Ma NCC: NCC001, Ngay nhap: 01/11/2024, Tong tien: 500000.0
Ma phieu: PN002, Ma NCC: NCC002, Ngay nhap: 02/11/2024, Tong tien: 750000.0
Ma phieu: PN003, Ma NCC: NCC003, Ngay nhap: 03/11/2024, Tong tien: 1200000.0
Ma phieu: PN004, Ma NCC: NCC004, Ngay nhap: 04/11/2024, Tong tien: 650000.0
Ma phieu: PN005, Ma NCC: NCC005, Ngay nhap: 05/11/2024, Tong tien: 850000.0
Ma phieu: PN006, Ma NCC: NCC006, Ngay nhap: 06/11/2024, Tong tien: 950000.0
Ma phieu: PN007, Ma NCC: NCC007, Ngay nhap: 07/11/2024, Tong tien: 1100000.0
Ma phieu: PN008, Ma NCC: NCC008, Ngay nhap: 08/11/2024, Tong tien: 700000.0
Ma phieu: PN009, Ma NCC: NCC009, Ngay nhap: 09/11/2024, Tong tien: 1300000.0
Ma phieu: PN010, Ma NCC: NCC010, Ngay nhap: 10/11/2024, Tong tien: 800000.0
Ma phieu: PN011, Ma NCC: NCC011, Ngay nhap: 11/11/2024, Tong tien: 900000.0
Ma phieu: PN012, Ma NCC: NCC012, Ngay nhap: 12/11/2024, Tong tien: 1400000.0
Ma phieu: PN013, Ma NCC: NCC013, Ngay nhap: 13/11/2024, Tong tien: 750000.0
Ma phieu: PN014, Ma NCC: NCC014, Ngay nhap: 14/11/2024, Tong tien: 1600000.0
Ma phieu: PN015, Ma NCC: NCC015, Ngay nhap: 15/11/2024, Tong tien: 1250000.0
Ma phieu: PN016, Ma NCC: NCC016, Ngay nhap: 16/11/2024, Tong tien: 850000.0
Ma phieu: PN017, Ma NCC: NCC017, Ngay nhap: 17/11/2024, Tong tien: 1150000.0
Ma phieu: PN018, Ma NCC: NCC018, Ngay nhap: 18/11/2024, Tong tien: 950000.0
Ma phieu: PN019, Ma NCC: NCC019, Ngay nhap: 19/11/2024, Tong tien: 1050000.0
Ma phieu: PN020, Ma NCC: NCC020, Ngay nhap: 20/11/2024, Tong tien: 990000.0
Ma phieu: 1, Ma NCC: 1, Ngay nhap: 11/11/2013, Tong tien: 23.0
